,productId,productName,priceSale,priceOriginal,imageLink,productLink,company,gender
68,769911,Vero Moda El Çantası,83.99 TL,169.99 TL,https://statics.boyner.com.tr/mnresize/325/451/productimages/5001975142_603_02.jpg,https://www.boyner.com.tr/vero-moda-el-cantasi-769911-1005,BOYNER,KadÄ±n
69,766229,Forever Cultivate Desenli Siyah - Beyaz Sırt Çantası,103.96 TL,204.95 TL,https://statics.boyner.com.tr/mnresize/325/451/productimages/5001918603_001_01.jpg,https://www.boyner.com.tr/forever-cultivate-sirt-cantasi-766229-1005,BOYNER,KadÄ±n
70,975798,Fabrika Siyah Bel Çantası,264.95 TL,279.95 TL,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002591088_001_01.jpg,https://www.boyner.com.tr/fabrika-bel-cantasi-975798-1005,BOYNER,KadÄ±n
71,975569,Calvin Klein Omuz Çantası,649.00 TL,689.95 TL,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002639343_001_01.jpg,https://www.boyner.com.tr/calvin-klein-omuz-cantasi-975569-1005,BOYNER,KadÄ±n
72,975568,Calvin Klein Omuz Çantası,909.00 TL,964.95 TL,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002639342_001_01.jpg,https://www.boyner.com.tr/calvin-klein-omuz-cantasi-975568-1005,BOYNER,KadÄ±n
73,975563,Calvin Klein Omuz Çantası,839.00 TL,889.95 TL,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002639331_001_01.jpg,https://www.boyner.com.tr/calvin-klein-omuz-cantasi-975563-1005,BOYNER,KadÄ±n
74,975562,Calvin Klein Tote Çanta,579.00 TL,614.95 TL,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002639329_602_01.jpg,https://www.boyner.com.tr/calvin-klein-tote-canta-975562-1005,BOYNER,KadÄ±n
75,975560,Calvin Klein Bel Çantası,519.00 TL,554.95 TL,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002639326_200_01.jpg,https://www.boyner.com.tr/calvin-klein-bel-cantasi-975560-1005,BOYNER,KadÄ±n
76,975547,Calvin Klein Omuz Çantası,389.00 TL,414.95 TL,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002639307_001_01.jpg,https://www.boyner.com.tr/calvin-klein-omuz-cantasi-975547-1005,BOYNER,KadÄ±n
77,975538,Calvin Klein Omuz Çantası,579.00 TL,614.95 TL,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002639294_001_01.jpg,https://www.boyner.com.tr/calvin-klein-omuz-cantasi-975538-1005,BOYNER,KadÄ±n
78,975534,Calvin Klein Sırt Çantası,779.00 TL,829.95 TL,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002639290_001_01.jpg,https://www.boyner.com.tr/calvin-klein-sirt-cantasi-975534-1005,BOYNER,KadÄ±n
79,975531,Calvin Klein Bel Çantası,519.00 TL,554.95 TL,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002639287_001_01.jpg,https://www.boyner.com.tr/calvin-klein-bel-cantasi-975531-1005,BOYNER,KadÄ±n
80,975529,Calvin Klein Sırt Çantası,779.00 TL,829.95 TL,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002639285_001_01.jpg,https://www.boyner.com.tr/calvin-klein-sirt-cantasi-975529-1005,BOYNER,KadÄ±n
81,975528,Calvin Klein Omuz Çantası,389.00 TL,414.95 TL,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002639284_001_01.jpg,https://www.boyner.com.tr/calvin-klein-omuz-cantasi-975528-1005,BOYNER,KadÄ±n
82,975524,Calvin Klein Cüzdan,489.00 TL,519.95 TL,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002639279_001_01.jpg,https://www.boyner.com.tr/calvin-klein-cuzdan-975524-1005,BOYNER,KadÄ±n
83,975517,Calvin Klein Sırt Çantası,779.00 TL,829.95 TL,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002639269_001_01.jpg,https://www.boyner.com.tr/calvin-klein-sirt-cantasi-975517-1005,BOYNER,KadÄ±n
84,975516,Calvin Klein Omuz Çantası,969.00 TL,"1,029.95 TL",https://statics.boyner.com.tr/mnresize/325/451/productimages/5002639268_001_01.jpg,https://www.boyner.com.tr/calvin-klein-omuz-cantasi-975516-1005,BOYNER,KadÄ±n
85,975461,Tommy Hilfiger Cüzdan,489.00 TL,519.95 TL,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002638830_411_01.jpg,https://www.boyner.com.tr/tommy-hilfiger-cuzdan-975461-1005,BOYNER,KadÄ±n
86,975450,Tommy Hilfiger Cüzdan,389.00 TL,414.95 TL,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002638812_600_01.jpg,https://www.boyner.com.tr/tommy-hilfiger-cuzdan-975450-1005,BOYNER,KadÄ±n
87,975442,Tommy Hilfiger Cüzdan,449.00 TL,479.95 TL,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002638791_411_01.jpg,https://www.boyner.com.tr/tommy-hilfiger-cuzdan-975442-1005,BOYNER,KadÄ±n
88,973977,Sole Sisters Omuz Çantası,159.00 TL,169.95 TL,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002647994_001_01.jpg,https://www.boyner.com.tr/sole-sisters-omuz-cantasi-973977-1005,BOYNER,KadÄ±n
89,972633,Sole Sisters Omuz Çantası,179.00 TL,189.95 TL,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002644259_001_01.jpg,https://www.boyner.com.tr/sole-sisters-omuz-cantasi-972633-1005,BOYNER,KadÄ±n
